a,b,target
2.2217275433067627,11.147728845602142,0
12.172040925883376,1.8434225713391543,0
6.333867432340269,9.872672627372859,0
11.846693634522783,4.527204642776348,0
13.3292694686768,15.989013630774132,0
6.322373444816469,4.941677107297387,0
14.735537447578976,6.355651619076596,0
9.19163531929365,0.5125243559324075,0
24.574800396860237,8.359064912428764,0
15.147238137526427,4.8914416057099075,0
9.34710282838611,12.660610498882805,0
15.660096911308141,13.883278721033635,0
18.558051866927755,11.682739761527332,0
41.82605097282272,22.189730245010523,1
3.237127795668897,8.793159857049114,1
9.52668261204725,5.751012506438713,1
5.253155328977437,12.117820857862084,1
35.95575161147589,20.80902170266684,1
33.20146814373595,13.848527291720515,1
31.88167235282771,31.39397542643488,1
7.628632842369909,8.45267077118602,1
35.48255761474387,18.545663533256533,1
5.771608053495792,23.85264611367002,1
23.787036341282956,7.96517964955996,1
12.659136897969132,15.288596743297576,1
23.51858460396025,23.97918149988099,1
7.674779122197201,23.33810102011565,2
41.441263984906925,17.623791581210114,2
17.05694926302415,9.862360505955923,2
6.130355796018507,6.868176388382863,2
2.360060653020919,5.138274313099919,2
6.7739982030394765,3.26251699835811,2
2.0887300352715052,8.530715495501777,2
8.425903783370895,11.638898627023316,2
15.545257577486453,7.298546870909447,2
3.914646735466577,11.050847505282412,2
7.819428439269827,16.806890536996278,2
0.8360646507735418,5.876000118160223,2
10.510515303492985,22.537344304172336,2
6.220687220380806,3.0484578455127895,2
8.89583043393239,3.6054835540023484,2
7.788101462376762,22.38017321316578,3
38.69445174259571,19.301529764248134,3
13.36954641519428,2.3206112098436824,3
22.67569160427802,29.427465086573385,3
39.16396129660118,16.643069079808125,3
13.389350002423795,13.429598889599895,3
15.398176943403417,0.04664418309013429,3
19.034871298413027,15.48802352515556,3
1.7110387762957355,16.445284565806197,3
13.709891318837265,5.554807819824547,3
21.017844086449468,18.697905511868118,3
16.131210511957583,8.319452444754972,3
38.421932520908186,16.722094136723324,3
16.89089291709946,18.466007665294757,0
16.934929749598446,15.303315921710052,0
29.153021627299072,14.116408268660823,0
14.278591056096156,10.802385365082491,0
15.30807692188137,1.8140933891197288,0
7.012073855400458,5.7580596313054775,0
23.36906356851097,9.993914869102532,0
7.58575709756193,23.772891179504757,0
16.08194519842432,1.7429545709418206,0
7.6179967098164845,3.2956189578626716,0
6.323446969194189,2.371599391065528,0
4.51879154966793,2.118705945895386,0
14.614469436411484,1.9281973002098278,0
17.373813498487195,6.149485313846497,1
8.505053650477318,10.210786506392077,1
11.896423695016955,12.471286965291322,1
20.352772566491737,22.579429476900952,1
10.645658172944042,7.119571175174915,1
4.688134555621524,9.95562162504167,1
12.895169812194847,40.71020143248398,1
8.126136124314057,1.1358912614526242,1
10.770430575319654,14.16498027619027,1
5.488212665014679,0.16519736393295256,1
13.632817724179306,2.714563227180622,1
14.100157601050817,9.968651095859252,1
16.637970142141107,24.386770794497053,1
7.327759556113791,22.076798166752514,1
34.135355727073666,12.290889578843938,2
39.719670973844416,36.75919278283422,2
22.139968218217845,9.799659206244117,2
40.59878346829078,18.700974668325482,2
15.979537407412135,1.6144022817339194,2
40.231965760637635,15.94505004517862,2
36.05110786600373,12.639677598076215,2
28.058518163701244,26.454247998019966,2
30.383865695510615,9.348888456437205,2
2.405546517992818,2.9973304058932917,3
3.8929231347395477,0.024887419177705747,3
22.527034999648,14.744114512956124,3
3.028768327724888,1.4659002714005487,3
4.737073867853355,11.205441044495078,3
4.508365322289523,3.3489841758740555,3
33.15466531875101,18.83803543347902,3
3.785639351705771,1.1200559842157016,3
3.5151331672167747,2.8700781168738208,3
0.0016429182137229772,14.901493048633746,3
11.96411804376843,1.8637984533421257,3
6.724535209293902,0.6704959429078282,3
2.0197997580080815,2.1135002825163247,3
24.302017165264477,15.566614813064323,3
11.15769665851442,3.477154653784009,3
